iter 72000 || ARM_L Loss: 0.4017 ARM_C Loss: 1.3362 ODM_L Loss: 0.6022 ODM_C Loss: 1.3694 Total:3.7096 || lr:0.000100 || Saving state, iter: 72000
timer: 0.3401 sec.
iter 72100 || ARM_L Loss: 0.4807 ARM_C Loss: 1.0278 ODM_L Loss: 0.5025 ODM_C Loss: 0.8754 Total:2.8864 || lr:0.000100 || timer: 0.3269 sec.
iter 72200 || ARM_L Loss: 0.5229 ARM_C Loss: 1.2001 ODM_L Loss: 0.6503 ODM_C Loss: 0.9392 Total:3.3126 || lr:0.000100 || timer: 0.2978 sec.
iter 72300 || ARM_L Loss: 0.6706 ARM_C Loss: 1.2843 ODM_L Loss: 0.7388 ODM_C Loss: 1.2991 Total:3.9928 || lr:0.000100 || timer: 0.2830 sec.
iter 72400 || ARM_L Loss: 0.3907 ARM_C Loss: 0.9364 ODM_L Loss: 0.5396 ODM_C Loss: 0.9937 Total:2.8605 || lr:0.000100 || timer: 0.3203 sec.
iter 72500 || ARM_L Loss: 0.5730 ARM_C Loss: 1.3245 ODM_L Loss: 0.6244 ODM_C Loss: 1.0486 Total:3.5705 || lr:0.000100 || timer: 0.3592 sec.
iter 72600 || ARM_L Loss: 0.6084 ARM_C Loss: 1.3658 ODM_L Loss: 0.5783 ODM_C Loss: 1.0792 Total:3.6316 || lr:0.000100 || timer: 0.2895 sec.
iter 72700 || ARM_L Loss: 0.6876 ARM_C Loss: 1.4320 ODM_L Loss: 0.7647 ODM_C Loss: 1.1504 Total:4.0346 || lr:0.000100 || timer: 0.3240 sec.
iter 72800 || ARM_L Loss: 0.5294 ARM_C Loss: 1.1253 ODM_L Loss: 0.5483 ODM_C Loss: 0.9644 Total:3.1673 || lr:0.000100 || timer: 0.3002 sec.
iter 72900 || ARM_L Loss: 0.4452 ARM_C Loss: 0.9889 ODM_L Loss: 0.5903 ODM_C Loss: 0.8230 Total:2.8474 || lr:0.000100 || timer: 0.3805 sec.
iter 73000 || ARM_L Loss: 0.7223 ARM_C Loss: 1.2515 ODM_L Loss: 0.7386 ODM_C Loss: 1.0322 Total:3.7446 || lr:0.000100 || timer: 0.3529 sec.
iter 73100 || ARM_L Loss: 0.5970 ARM_C Loss: 1.0993 ODM_L Loss: 0.5684 ODM_C Loss: 1.0457 Total:3.3105 || lr:0.000100 || timer: 0.2996 sec.
iter 73200 || ARM_L Loss: 0.4621 ARM_C Loss: 0.9923 ODM_L Loss: 0.4408 ODM_C Loss: 0.9114 Total:2.8066 || lr:0.000100 || timer: 0.3490 sec.
iter 73300 || ARM_L Loss: 0.3636 ARM_C Loss: 0.9644 ODM_L Loss: 0.5628 ODM_C Loss: 1.1344 Total:3.0252 || lr:0.000100 || timer: 0.2960 sec.
iter 73400 || ARM_L Loss: 0.5285 ARM_C Loss: 1.2063 ODM_L Loss: 0.5968 ODM_C Loss: 1.0381 Total:3.3698 || lr:0.000100 || timer: 0.2907 sec.
iter 73500 || ARM_L Loss: 0.5023 ARM_C Loss: 1.0855 ODM_L Loss: 0.5411 ODM_C Loss: 0.9639 Total:3.0927 || lr:0.000100 || timer: 0.3097 sec.
iter 73600 || ARM_L Loss: 0.4824 ARM_C Loss: 1.2907 ODM_L Loss: 0.5707 ODM_C Loss: 1.0847 Total:3.4286 || lr:0.000100 || timer: 0.2964 sec.
iter 73700 || ARM_L Loss: 0.5769 ARM_C Loss: 1.2895 ODM_L Loss: 0.6746 ODM_C Loss: 1.1444 Total:3.6854 || lr:0.000100 || timer: 0.3218 sec.
iter 73800 || ARM_L Loss: 0.5151 ARM_C Loss: 1.0743 ODM_L Loss: 0.6231 ODM_C Loss: 0.8426 Total:3.0552 || lr:0.000100 || timer: 0.3237 sec.
iter 73900 || ARM_L Loss: 0.5636 ARM_C Loss: 1.2072 ODM_L Loss: 0.6320 ODM_C Loss: 1.1322 Total:3.5350 || lr:0.000100 || timer: 0.3033 sec.
iter 74000 || ARM_L Loss: 0.4878 ARM_C Loss: 1.1415 ODM_L Loss: 0.5964 ODM_C Loss: 1.0139 Total:3.2396 || lr:0.000100 || timer: 0.3110 sec.
iter 74100 || ARM_L Loss: 0.7164 ARM_C Loss: 1.1852 ODM_L Loss: 0.6730 ODM_C Loss: 1.1379 Total:3.7125 || lr:0.000100 || timer: 0.3152 sec.
iter 74200 || ARM_L Loss: 0.3956 ARM_C Loss: 0.9441 ODM_L Loss: 0.5184 ODM_C Loss: 0.8178 Total:2.6760 || lr:0.000100 || timer: 0.3204 sec.
iter 74300 || ARM_L Loss: 0.7114 ARM_C Loss: 1.2926 ODM_L Loss: 0.6401 ODM_C Loss: 1.1146 Total:3.7587 || lr:0.000100 || timer: 0.3057 sec.
